"PanelFile","ParameterName","Channel","PinNumber","PinDesignation","Type","SimVar_Logic","Notes"
"caution_panel.lua","OIL_PRESS_L","E","D37","ARDUINO_MEGA2560_E_D37","Input (Digital)","","mc_ca1"
"caution_panel.lua","ENG_CHIP_L","E","D28","ARDUINO_MEGA2560_E_D28","Input (Digital)","","mc_ca2"
"caution_panel.lua","FUEL_VALVE_L","E","D27","ARDUINO_MEGA2560_E_D27","Input (Digital)","","mc_ca3"
"caution_panel.lua","FUEL_BOOST_1_L","E","D45","ARDUINO_MEGA2560_E_D45","Input (Digital)","","mc_ca4"
"caution_panel.lua","FUEL_TRANS_1_L","E","D40","ARDUINO_MEGA2560_E_D40","Input (Digital)","","mc_ca5"
"caution_panel.lua","BATT_TEMP_L","E","D42","ARDUINO_MEGA2560_E_D42","Input (Digital)","","mc_ca6"
"caution_panel.lua","FUEL_FILTER_1_L","E","D48","ARDUINO_MEGA2560_E_D48","Input (Digital)","","mc_ca7"
"caution_panel.lua","FUEL_LOW_L","E","D41","ARDUINO_MEGA2560_E_D41","Input (Digital)","","mc_ca8"
"caution_panel.lua","EFIS_FAN_1_L","E","D38","ARDUINO_MEGA2560_E_D38","Input (Digital)","","mc_ca9"
"caution_panel.lua","PAR_SEP_OFF_L","E","D49","ARDUINO_MEGA2560_E_D49","Input (Digital)","","mc_cb1"
"caution_panel.lua","GOV_MANUAL_L","E","D47","ARDUINO_MEGA2560_E_D47","Input (Digital)","","mc_cb2"
"caution_panel.lua","DC_GEN_L","E","D30","ARDUINO_MEGA2560_E_D30","Input (Digital)","","mc_cb3"
"caution_panel.lua","AUTO_PILOT_1_L","E","D34","ARDUINO_MEGA2560_E_D34","Input (Digital)","","mc_cb5"
"caution_panel.lua","ROTOR_BRAKE_L","E","D32","ARDUINO_MEGA2560_E_D32","Input (Digital)","","mc_cb6"
"caution_panel.lua","INVERTER_1_L","E","D46","ARDUINO_MEGA2560_E_D46","Input (Digital)","","mc_cb7"
"caution_panel.lua","HEATER_AIR_L","E","D39","ARDUINO_MEGA2560_E_D39","Input (Digital)","","mc_cb8"
"caution_panel.lua","IGNITION_L","E","D25","ARDUINO_MEGA2560_E_D25","Input (Digital)","","mc_cc1"
"caution_panel.lua","CBOX_OIL_PRESS_L","E","D35","ARDUINO_MEGA2560_E_D35","Input (Digital)","","mc_cc2"
"caution_panel.lua","CBOX_OIL_TEMP_L","E","D50","ARDUINO_MEGA2560_E_D50","Input (Digital)","","mc_cc3"
"caution_panel.lua","CBOX_CHIP_L","E","D43","ARDUINO_MEGA2560_E_D43","Input (Digital)","","mc_cc4"
"caution_panel.lua","NO_1_HYD_L","E","D26","ARDUINO_MEGA2560_E_D26","Input (Digital)","","mc_cc5"
"caution_panel.lua","EXT_POWER_L","E","D3","ARDUINO_MEGA2560_E_D3","Input (Digital)","","mc_cc6"
"caution_panel.lua","XMSN_OIL_PRESS_R","E","A0","ARDUINO_MEGA2560_E_A0","Input/Output (Verify)","","mc_cd1"
"caution_panel.lua","XMSN_OIL_TEMP_R","E","A4","ARDUINO_MEGA2560_E_A4","Input/Output (Verify)","","mc_cd2"
"caution_panel.lua","XMSN_CHIP_R","E","D11","ARDUINO_MEGA2560_E_D11","Input (Digital)","","mc_cd3"
"caution_panel.lua","NO_2_HYD_R","E","D13","ARDUINO_MEGA2560_E_D13","Input (Digital)","","mc_cd4"
"caution_panel.lua","BOX_CHIP_4290_R","E","D53","ARDUINO_MEGA2560_E_D53","Input (Digital)","","mc_cd5"
"caution_panel.lua","DC_GEN_R","E","A14","ARDUINO_MEGA2560_E_A14","Input/Output (Verify)","","mc_ce1"
"caution_panel.lua","CAUTION_PANEL_R","E","A8","ARDUINO_MEGA2560_E_A8","Input/Output (Verify)","","mc_ce2"
"caution_panel.lua","INVERTOR_2_R","E","A7","ARDUINO_MEGA2560_E_A7","Input/Output (Verify)","","mc_ce3"
"caution_panel.lua","DOOR_LOCK_R","E","D6","ARDUINO_MEGA2560_E_D6","Input (Digital)","","mc_ce4"
"caution_panel.lua","FUEL_BOOST_2_R","E","A13","ARDUINO_MEGA2560_E_A13","Input/Output (Verify)","","mc_cf1"
"caution_panel.lua","FUEL_TRANS_2_R","E","A5","ARDUINO_MEGA2560_E_A5","Input/Output (Verify)","","mc_cf2"
"caution_panel.lua","BATTERY_R","E","A6","ARDUINO_MEGA2560_E_A6","Input/Output (Verify)","","mc_cf3"
"caution_panel.lua","FUEL_FILTER_2_R","E","A10","ARDUINO_MEGA2560_E_A10","Input/Output (Verify)","","mc_cf4"
"caution_panel.lua","FUEL_INTERCON_R","E","D52","ARDUINO_MEGA2560_E_D52","Input (Digital)","","mc_cf5"
